"State","Revenue"
"Alabama","889.47"
"Alabama","3557.85"
"Alabama","1663.14"
"Arizona","6612.72"
"Arizona","1977.92"
"Arizona","2063.48"
"Arizona","11944.52"
"Arizona","1564.98"
"Arkansas","5594.07"
"California","13509.12"
"California","9772.03"
"California","6927.68"
"California","9663.33"
"California","640.75"
"California","1735.36"
"California","255472.95"
"California","62889.25"
"California","1534.32"
"California","768.98"
"California","7235.79"
"California","1080.58"
"California","3085.05"
"California","2122.73"
"California","44963.17"
"California","61646.26"
"California","12893.42"
"California","1452.9"
"California","31581.95"
"California","6323.69"
"Colorado","6956.09"
"Colorado","4336.4"
"Connecticut","11546.59"
"Delaware","1419.38"
"District of Columbia","22094.55"
"Florida","1035.61"
"Florida","826.19"
"Florida","9390.4"
"Florida","2867.56"
"Florida","3163.53"
"Florida","4212.69"
"Florida","3949.43"
"Florida","3513.52"
"Florida","1663.49"
"Florida","5140"
"Florida","708.73"
"Florida","11401.82"
"Florida","218.95"
"Florida","4589.95"
"Florida","1464.3"
"Georgia","205.62"
"Georgia","2492.34"
"Georgia","12752.65"
"Georgia","62098.26"
"Georgia","2820.67"
"Georgia","26885.37"
"Georgia","700.73"
"Idaho","810.42"
"Illinois","8189.7"
"Illinois","2714.5"
"Illinois","51894.51"
"Illinois","3316.57"
"Illinois","2373.43"
"Illinois","1971.48"
"Illinois","3038.25"
"Illinois","2147.16"
"Illinois","2259.33"
"Illinois","2483.08"
"Illinois","7918.94"
"Illinois","4900.15"
"Illinois","2708.32"
"Indiana","1037.97"
"Indiana","2146.85"
"Indiana","10181.92"
"Indiana","5544.25"
"Indiana","2674.79"
"Iowa","1427.45"
"Iowa","601.76"
"Kansas","6788.93"
"Kansas","2652.87"
"Louisiana","8963.31"
"Louisiana","2141.15"
"Maine","10805.77"
"Maine","3942.6"
"Maryland","4245.05"
"Maryland","420.78"
"Massachusetts","5743.6"
"Massachusetts","6554.71"
"Massachusetts","360.24"
"Massachusetts","7893.52"
"Michigan","8737.27"
"Michigan","6501.36"
"Michigan","1695.9"
"Michigan","3317.2"
"Michigan","10918.62"
"Michigan","8411.66"
"Minnesota","6307.53"
"Minnesota","323.23"
"Minnesota","1146.62"
"Minnesota","1070.49"
"Minnesota","2880.14"
"Minnesota","10401.52"
"Minnesota","7660.5"
"Mississippi","2598.54"
"Missouri","2873.27"
"Missouri","2014.93"
"Missouri","4746.99"
"Missouri","4331.49"
"Montana","1839.09"
"Montana","1083.3"
"Nebraska","1037.95"
"Nevada","17888.53"
"New Hampshire","2259.42"
"New Jersey","883.71"
"New Jersey","554.02"
"New Jersey","2417.3"
"New Jersey","1614.66"
"New Jersey","36789.48"
"New Jersey","702.44"
"New Mexico","6367.43"
"New Mexico","1755.8"
"New York","4499.13"
"New York","1320.89"
"New York","3993.8"
"New York","146980.52"
"New York","1664.38"
"New York","501.95"
"New York","2349.79"
"New York","7322.99"
"North Carolina","7474.22"
"North Carolina","1050.35"
"North Carolina","4711.37"
"North Carolina","10513.44"
"North Carolina","835.63"
"North Carolina","2384.36"
"North Dakota","11783.95"
"Ohio","2790.95"
"Ohio","4886.22"
"Ohio","2841.71"
"Ohio","35185.59"
"Ohio","6098.64"
"Ohio","673.28"
"Ohio","2426.56"
"Ohio","1786.21"
"Ohio","1245.27"
"Ohio","359.23"
"Oklahoma","577.04"
"Oklahoma","13897.63"
"Oregon","6792.25"
"Oregon","13247.55"
"Oregon","3404.17"
"Oregon","11882.79"
"Oregon","3902.66"
"Pennsylvania","191.5"
"Pennsylvania","5557.44"
"Pennsylvania","912.5"
"Pennsylvania","2494.74"
"Tennessee","17695.43"
"Tennessee","7847.21"
"Texas","3479.71"
"Texas","971.15"
"Texas","1198.55"
"Texas","3516.17"
"Texas","12858.91"
"Texas","5364.83"
"Texas","2139.37"
"Texas","2283.51"
"Texas","6864.97"
"Texas","1794.82"
"Utah","2305.22"
"Vermont","33996.95"
"Virginia","11954.12"
"Virginia","10810.14"
"Washington","1064.68"
"Washington","355.2"
"Washington","2983.88"
"Washington","1900.13"
"Washington","13475.56"
"Washington","7352.98"
"West Virginia","7795.18"
"Wisconsin","381.8"
"Wisconsin","6421.62"
"Wisconsin","263.45"
"Wisconsin","2831.86"
"Wisconsin","1905.7"
"Wisconsin","1171.78"
