"State","Revenue"
"Alabama","889.47"
"Alabama","3557.85"
"Alabama","1663.14"
"Arizona","6612.72"
"Arizona","1977.92"
"Arizona","2063.48"
"Arizona","11944.52"
"Arizona","1564.98"
"Arkansas","5594.07"
"California","13509.12"
"California","9772.03"
"California","6927.68"
"California","9663.33"
"California","640.75"
"California","1735.36"
"California","255472.95"
"California","62889.25"
"California","1534.32"
"California","768.98"
"California","7235.79"
"California","1080.58"
"California","3085.05"
"California","2122.73"
"California","44963.17"
"California","61646.26"
"California","12893.42"
"California","1452.9"
"California","31581.95"
"California","6323.69"
"Colorado","6956.09"
"Colorado","4336.4"
"Connecticut","11546.59"
"Delaware","1419.38"
"District of Columbia","22094.55"
"Florida","1035.61"
"Florida","826.19"
"Florida","9390.4"
"Florida","2867.56"
"Florida","3163.53"
"Florida","4212.69"
"Florida","3949.43"
"Florida","3513.52"
"Florida","1663.49"
"Florida","5140"
"Florida","708.73"
"Florida","11401.82"
"Florida","218.95"
"Florida","4589.95"
"Florida","1464.3"
"Georgia","205.62"
"Georgia","2492.34"
"Georgia","12752.65"
"Georgia","62098.26"
"Georgia","2820.67"
"Georgia","26885.37"
"Georgia","700.73"
"Idaho","810.42"
"Illinois","8189.7"
"Illinois","2714.5"
"Illinois","51894.51"
"Illinois","3316.57"
"Illinois","2373.43"
"Illinois","1971.48"
"Illinois","3038.25"
"Illinois","2147.16"
"Illinois","2259.33"
"Illinois","2483.08"
"Illinois","7918.94"
"Illinois","4900.15"
"Illinois","2708.32"
"Indiana","1037.97"
"Indiana","2146.85"
"Indiana","10181.92"
"Indiana","5544.25"
"Indiana","2674.79"
"Iowa","1427.45"
"Iowa","601.76"
"Kansas","6788.93"
"Kansas","2652.87"
"Louisiana","8963.31"
"Louisiana","2141.15"
"Maine","10805.77"
"Maine","3942.6"
"Maryland","4245.05"
"Maryland","420.78"
"Massachusetts","5743.6"
"Massachusetts","6554.71"
"Massachusetts","360.24"
"Massachusetts","7893.52"
"Michigan","8737.27"
"Michigan","6501.36"
